panel,row,column,assets,factors,red,green,blue
3,14,8,800,9,253,224,72
3,14,9,800,10,250,228,71
3,14,10,800,11,250,228,71
3,15,0,850,1,45,63,161
3,15,1,850,2,58,127,196
3,15,2,850,3,59,164,219
3,15,3,850,4,255,200,71
3,15,4,850,5,255,201,70
3,15,5,850,6,255,209,71
3,15,6,850,7,255,209,71
3,15,7,850,8,255,209,71
3,15,8,850,9,255,212,71
3,15,9,850,10,251,225,71
3,15,10,850,11,251,225,71
3,16,0,900,1,42,56,157
3,16,1,900,2,58,119,191
3,16,2,900,3,62,153,211
3,16,3,900,4,255,192,70
3,16,4,900,5,255,194,71
3,16,5,900,6,255,209,71
3,16,6,900,7,255,209,71
3,16,7,900,8,255,209,71
3,16,8,900,9,255,212,71
3,16,9,900,10,253,224,72
3,16,10,900,11,253,222,69
3,17,0,950,1,39,50,154
3,17,1,950,2,57,112,188
3,17,2,950,3,63,145,207
3,17,3,950,4,53,189,220
3,17,4,950,5,255,187,72
3,17,5,950,6,255,205,69
3,17,6,950,7,255,204,70
3,17,7,950,8,255,206,70
3,17,8,950,9,255,209,71
3,17,9,950,10,254,219,71
3,17,10,950,11,254,219,71
4,0,0,100,1,58,165,219
4,0,1,100,2,52,190,216
4,0,2,100,3,66,49,138
4,0,3,100,4,128,201,93
4,0,4,100,5,255,201,68
4,0,5,100,6,255,209,70
4,0,6,100,7,251,225,71
4,0,7,100,8,250,229,71
4,0,8,100,9,248,230,78
4,0,9,100,10,249,230,74
4,0,10,100,11,249,230,74
4,1,0,150,1,60,161,217
4,1,1,150,2,58,196,193
4,1,2,150,3,56,171,223
4,1,3,150,4,51,73,167
4,1,4,150,5,108,198,109
4,1,5,150,6,252,221,70
4,1,6,150,7,251,229,71
4,1,7,150,8,249,230,74
4,1,8,150,9,247,229,74
4,1,9,150,10,249,230,74
4,1,10,150,11,247,229,74
4,2,0,200,1,62,156,214
4,2,1,200,2,58,196,193
4,2,2,200,3,58,165,219
4,2,3,200,4,44,61,160
4,2,4,200,5,77,195,147
4,2,5,200,6,255,204,70
4,2,6,200,7,255,212,71
4,2,7,200,8,255,209,70
4,2,8,200,9,255,209,70
4,2,9,200,10,255,206,70
4,2,10,200,11,251,227,72
4,3,0,250,1,62,151,210
4,3,1,250,2,55,195,200
4,3,2,250,3,58,96,179
4,3,3,250,4,64,147,209
4,3,4,250,5,56,175,226
4,3,5,250,6,255,190,71
4,3,6,250,7,255,201,71
4,3,7,250,8,255,204,69
4,3,8,250,9,255,208,71
4,3,9,250,10,251,225,71
4,3,10,250,11,255,217,70
4,4,0,300,1,62,151,210
4,4,1,300,2,55,195,195
4,4,2,300,3,40,53,155
4,4,3,300,4,58,196,190
4,4,4,300,5,61,196,185
4,4,5,300,6,255,192,70
4,4,6,300,7,255,202,70
4,4,7,300,8,255,209,71
4,4,8,300,9,250,229,73
4,4,9,300,10,253,222,69
4,4,10,300,11,253,222,69
4,5,0,350,1,63,147,208
4,5,1,350,2,58,196,191
4,5,2,350,3,45,63,161
4,5,3,350,4,58,127,196
4,5,4,350,5,60,159,216
4,5,5,350,6,255,183,72
4,5,6,350,7,255,213,71
4,5,7,350,8,255,206,70
4,5,8,350,9,255,205,69
4,5,9,350,10,252,221,70
4,5,10,350,11,252,221,70
4,6,0,400,1,63,145,207
4,6,1,400,2,58,196,193
4,6,2,400,3,53,78,169
4,6,3,400,4,58,112,188
4,6,4,400,5,63,148,208
4,6,5,400,6,239,186,58
4,6,6,400,7,255,217,70
4,6,7,400,8,254,219,71
4,6,8,400,9,255,202,70
4,6,9,400,10,253,222,69
4,6,10,400,11,251,227,72
4,7,0,450,1,62,140,203
4,7,1,450,2,55,195,195
4,7,2,450,3,56,86,174
4,7,3,450,4,59,107,184
4,7,4,450,5,58,119,191
4,7,5,450,6,116,200,103
4,7,6,450,7,255,212,71
4,7,7,450,8,255,216,71
4,7,8,450,9,255,198,71
4,7,9,450,10,255,201,70
4,7,10,450,11,255,200,71
4,8,0,500,1,62,139,203
4,8,1,500,2,55,195,195
4,8,2,500,3,58,92,176
4,8,3,500,4,58,98,180
4,8,4,500,5,58,92,177
4,8,5,500,6,65,196,179
4,8,6,500,7,255,184,71
4,8,7,500,8,255,198,71
4,8,8,500,9,255,198,71
4,8,9,500,10,255,198,71
4,8,10,500,11,255,198,71
4,9,0,550,1,63,137,202
4,9,1,550,2,58,196,193
4,9,2,550,3,58,98,180
4,9,3,550,4,58,98,180
4,9,4,550,5,56,88,175
4,9,5,550,6,57,169,221
4,9,6,550,7,95,197,121
4,9,7,550,8,255,190,71
4,9,8,550,9,255,209,71
4,9,9,550,10,255,209,70
4,9,10,550,11,255,213,71
4,10,0,600,1,61,133,200
4,10,1,600,2,55,195,195
4,10,2,600,3,59,107,184
4,10,3,600,4,59,99,181
4,10,4,600,5,53,81,170
4,10,5,600,6,58,109,186
4,10,6,600,7,79,196,143
4,10,7,600,8,160,201,71
4,10,8,600,9,255,202,70
4,10,9,600,10,255,204,70
4,10,10,600,11,252,221,70
4,11,0,650,1,61,133,200
4,11,1,650,2,56,194,197
4,11,2,650,3,58,112,188
4,11,3,650,4,59,99,181
4,11,4,650,5,53,81,170
4,11,5,650,6,58,94,177
4,11,6,650,7,51,187,220
4,11,7,650,8,74,196,157
4,11,8,650,9,216,189,57
4,11,9,650,10,255,200,71
4,11,10,650,11,255,201,70
4,12,0,700,1,61,131,199
4,12,1,700,2,55,195,195
4,12,2,700,3,58,115,189
4,12,3,700,4,58,101,181
4,12,4,700,5,53,81,170
4,12,5,700,6,56,88,175
4,12,6,700,7,53,177,227
4,12,7,700,8,58,196,193
4,12,8,700,9,74,196,155
4,12,9,700,10,255,183,72
4,12,10,700,11,255,183,70
4,13,0,750,1,61,129,197
4,13,1,750,2,55,195,195
4,13,2,750,3,58,119,191
4,13,3,750,4,58,108,185
4,13,4,750,5,55,85,173
4,13,5,750,6,55,87,174
4,13,6,750,7,62,156,214
4,13,7,750,8,57,169,222
4,13,8,750,9,56,194,197
4,13,9,750,10,205,192,58
4,13,10,750,11,208,191,58
4,14,0,800,1,59,128,196
4,14,1,800,2,55,195,195
4,14,2,800,3,59,120,192
4,14,3,800,4,58,109,186
4,14,4,800,5,56,86,174
4,14,5,800,6,56,86,174
4,14,6,800,7,61,129,197
4,14,7,800,8,62,156,214
4,14,8,800,9,53,177,227
4,14,9,800,10,189,196,63
4,14,10,800,11,189,196,63
4,15,0,850,1,58,127,196
4,15,1,850,2,55,195,195
4,15,2,850,3,57,122,194
